,path,text
0,./fashion_captioning/images/109690.jpg,tie hem high waist tapered pants 
1,./fashion_captioning/images/119532.jpg,old world mystic double wrap bracelet 
2,./fashion_captioning/images/5599.jpg,two tone satin a line gown 
3,./fashion_captioning/images/84121.jpg,clarkdale gobi chelsea boot 
4,./fashion_captioning/images/70021.jpg,melrose classic fit jacquard button up tee 
5,./fashion_captioning/images/67917.jpg,sammy classic fit floral button up tee 
6,./fashion_captioning/images/63395.jpg,tee1 logo t tee 
7,./fashion_captioning/images/5445.jpg,kate one one-piece swimsuit 
8,./fashion_captioning/images/129092.jpg,cabi sandal 
9,./fashion_captioning/images/115690.jpg,mini lee radziwill leather bag 
10,./fashion_captioning/images/53088.jpg,double breasted tweed shirtdress 
11,./fashion_captioning/images/107161.jpg,andi foldover waist stretch denim skirt 
12,./fashion_captioning/images/52082.jpg,cascade collar wool blend coat 
13,./fashion_captioning/images/33149.jpg,brea stripe tee 
14,./fashion_captioning/images/119355.jpg,harlow by nashelle past present future boxed necklace 
15,./fashion_captioning/images/4275.jpg,logo cuff hood 
16,./fashion_captioning/images/20821.jpg,scarf print v neck silk maxi dress 
17,./fashion_captioning/images/24735.jpg,pure luxe convertible wireless contour bra 
18,./fashion_captioning/images/30334.jpg,rain jacket 
19,./fashion_captioning/images/79980.jpg,side out floral long sleeve wrap dress 
20,./fashion_captioning/images/89572.jpg,kriston waterproof boot 
21,./fashion_captioning/images/69753.jpg,courage straight leg tweed pants 
22,./fashion_captioning/images/63018.jpg,carter boxer brief 
23,./fashion_captioning/images/31579.jpg,floral blazer 
24,./fashion_captioning/images/56760.jpg,ouse woven tee 
25,./fashion_captioning/images/18292.jpg,the rambler high waist fray wide leg jeans 
26,./fashion_captioning/images/85655.jpg,platform ballerina shoe 
27,./fashion_captioning/images/99495.jpg,stretch oxford chinos shorts 
28,./fashion_captioning/images/98177.jpg,curved pleated dress 
29,./fashion_captioning/images/102303.jpg,square neck ribbed tank 
30,./fashion_captioning/images/73007.jpg,air long sleeve t tee 
31,./fashion_captioning/images/35209.jpg,rodiona nebulous slub organic cotton tee 
32,./fashion_captioning/images/64968.jpg,trim fit plaid dress tee 
33,./fashion_captioning/images/74050.jpg,mykonos midi dress 
34,./fashion_captioning/images/97748.jpg,van gogh sequin wrap skirt 
35,./fashion_captioning/images/76498.jpg,mila stretch silk sash wrapped long sleeve dress 
36,./fashion_captioning/images/50655.jpg,andra lace trim camisole 
37,./fashion_captioning/images/110989.jpg,clifton leather strap watch 42mm 
38,./fashion_captioning/images/108315.jpg,lane classic check high waist wool blend trousers 
39,./fashion_captioning/images/16537.jpg,ballet neck shorts sleeve top 
40,./fashion_captioning/images/82950.jpg,stadler logo graphic crewneck sweatshirt 
41,./fashion_captioning/images/60108.jpg,standard straight leg jeans 
42,./fashion_captioning/images/86448.jpg,bork platform boot 
43,./fashion_captioning/images/26545.jpg,stripe knit wide leg crop pants 
44,./fashion_captioning/images/48154.jpg,lucinda puff sleeve midi dress 
45,./fashion_captioning/images/110515.jpg,micro floral silk tie 
46,./fashion_captioning/images/9987.jpg,hibiscus beaded tulle trumpet gown 
47,./fashion_captioning/images/28896.jpg,donna romper dress 
48,./fashion_captioning/images/84169.jpg,newport slide sandal 
49,./fashion_captioning/images/28081.jpg,wool straight leg pants 
50,./fashion_captioning/images/121824.jpg,mini tube hoop earring 
51,./fashion_captioning/images/423.jpg,helena denim jacket 
52,./fashion_captioning/images/60510.jpg,greyson jeans fit jeans 
53,./fashion_captioning/images/70772.jpg,clinton marled ponte sport coat 
54,./fashion_captioning/images/87351.jpg,sanstan boot 
55,./fashion_captioning/images/100510.jpg,extra trim fit non iron check dress tee 
56,./fashion_captioning/images/108083.jpg,cool cotton lace brief 
57,./fashion_captioning/images/101025.jpg,print cotton silk tee 
58,./fashion_captioning/images/48166.jpg,me rose sweatpants 
59,./fashion_captioning/images/13169.jpg,eyelet trim sleeveless knit dress 
